id,label,sign_name_en,video_name
1504,Carteira de bolso,WALLET,20210210112608_6023ed00870f7.mp4
1504,Carteira de bolso,WALLET,20210505051227_6092fc2b240e4.mp4
1504,Carteira de bolso,WALLET,20210613114006_60c618c66e52d.mp4
1172,Quer,WANT,20210128040330_60130a828a26c.mp4
1172,Quer,WANT,20210505032446_6092e2ee4413e.mp4
1172,Quer,WANT,20210605035802_60bbc93a24fc8.mp4
1154,Guerra,WAR,20210128034827_601306fb6e7b9.mp4
1154,Guerra,WAR,20210505101629_60929aad91c3f.mp4
1154,Guerra,WAR,20210617084733_60cb36556cff2.mp4
1237,Caloroso,WARM,20210128060334_601326a6b4626.mp4
1237,Caloroso,WARM,20210505075441_609279717884d.mp4
1237,Caloroso,WARM,20210613113819_60c6185b9a15d.mp4
700,Advertir,WARN,20210331112410_6064860ab479a.mp4
700,Advertir,WARN,20210501071100_608d293422d3b.mp4
700,Advertir,WARN,20210929043605_6154c025ed4d9.mp4
1263,Lavar,WASH,20210128062103_60132abf5748a.mp4
1263,Lavar,WASH,20210505025218_6092db52d1ee2.mp4
1263,Lavar,WASH,20210617045653_60cba90565be6.mp4
1262,Lavar prato,WASH-DISH,20210128061744_601329f876099.mp4
1262,Lavar prato,WASH-DISH,20210505030949_6092df6def3fd.mp4
1262,Lavar prato,WASH-DISH,20210617045727_60cba9272c055.mp4
1261,Lavar o rosto,WASH-FACE,20210128061716_601329dc854f1.mp4
1261,Lavar o rosto,WASH-FACE,20210505030958_6092df767f1ce.mp4
1261,Lavar o rosto,WASH-FACE,20210617045711_60cba917d4c7a.mp4
1260,Lavar as mãos,WASH-HANDS,20210128061655_601329c7c7cd2.mp4
1260,Lavar as mãos,WASH-HANDS,20210505103042_60929e02a71f1.mp4
1260,Lavar as mãos,WASH-HANDS,20210617045637_60cba8f59f512.mp4
1273,Máquina de lavar,WASHING-MACHINE,20210128062444_60132b9c6cb94.mp4
1273,Máquina de lavar,WASHING-MACHINE,20210505031106_6092dfba6aa0f.mp4
1273,Máquina de lavar,WASHING-MACHINE,20210618030402_60cce01212498.mp4
1243,Desperdício,WASTE,20210128060551_6013272fd394b.mp4
1243,Desperdício,WASTE,20210505120452_6092b41451fa9.mp4
1243,Desperdício,WASTE,20210613010237_60c62c1dc65a2.mp4
222,Assistir,WATCH,20201224074756_5fe471dc8ba91.mp4
222,Assistir,WATCH,20201224064802_5fe50c92619ff.mp4
222,Assistir,WATCH,20210331015513_6064a97173fe1.mp4
1217,Água,WATER,20210128055412_601324744d7ef.mp4
1217,Água,WATER,20210505115048_6092b0c800c7a.mp4
1217,Água,WATER,20210929043808_6154c0a086bf0.mp4
1276,Melância,WATERMELON,20210128062543_60132bd750a82.mp4
1276,Melância,WATERMELON,20210505031027_6092df93bad93.mp4
1276,Melância,WATERMELON,20210618031247_60cce21f55062.mp4
1214,Acenar,WAVE-GOODBYE,20210128055303_6013242f8533d.mp4
